,emp_title,annual_income,homeownership
0,global config engineer ,90000.0,MORTGAGE
1,warehouse office clerk,40000.0,RENT
2,assembly,40000.0,RENT
3,customer service,30000.0,RENT
4,security supervisor ,35000.0,RENT
6,hr ,35000.0,MORTGAGE
7,police,110000.0,MORTGAGE
8,parts,65000.0,MORTGAGE
9,4th person,30000.0,RENT
10,supervisor,75000.0,MORTGAGE
11,register nurse,91900.0,MORTGAGE
12,respiratory therapist & sleep lab tech,122000.0,MORTGAGE
13,senior inspector,88000.0,MORTGAGE
15,dental hygienist,60000.0,MORTGAGE
17,onsite medical ,72000.0,RENT
18,operational risk manager,210000.0,MORTGAGE
19,welder,83000.0,MORTGAGE
20,maintenance adm assistant,50000.0,MORTGAGE
21,warranty administrator,42000.0,MORTGAGE
22,underwriter,100000.0,MORTGAGE
24,program analyst ,82000.0,RENT
25,surveyor/cadd tech,55000.0,MORTGAGE
26,associated ,55000.0,RENT
27,inventory control specialist,33000.0,RENT
28,inventory control,60000.0,RENT
29,sr direct supoort professional,48000.0,MORTGAGE
30,director of operations,106000.0,MORTGAGE
31,hospitalist,245000.0,MORTGAGE
32,teacher,50000.0,MORTGAGE
33,controller,80000.0,MORTGAGE
34,deputy,140000.0,MORTGAGE
35,armed protection officer ,70000.0,OWN
36,driver,45000.0,RENT
37,supplies clerk,70000.0,MORTGAGE
38,loan consultant ,75000.0,RENT
39,bank coordinator,53592.0,RENT
41,senior recruiter,90000.0,RENT
42,reader advisor,77000.0,RENT
43,truck driver,42000.0,RENT
44,sales,130000.0,MORTGAGE
45,director of support services,76300.0,OWN
46,rn,190000.0,MORTGAGE
47,police recruit,41000.0,RENT
48,lead teller,30000.0,RENT
49,registered nurse,88000.0,MORTGAGE
50,hes advisor ,115000.0,MORTGAGE
51,sr admin assistant,95731.0,RENT
52,president,127000.0,RENT
53,hvac technician,75000.0,MORTGAGE
54,nurse assistant,70000.0,MORTGAGE
56,driver,75000.0,MORTGAGE
57,gourmet food server,73000.0,MORTGAGE
59,program manager,188000.0,RENT
60,deputy assessor ,50000.0,MORTGAGE
61,service tech,58000.0,OWN
62,senior technically writer,105000.0,RENT
63,rn,114000.0,MORTGAGE
64,escrow manager,150000.0,MORTGAGE
65,quality control,69000.0,MORTGAGE
66,medical billing account rep,30000.0,MORTGAGE
67,truck driver,60000.0,MORTGAGE
68,general manager,74000.0,MORTGAGE
69,bartender,25000.0,RENT
71,interpreter/translator/school enrolment ,31000.0,RENT
72,accounts receivable manager,64000.0,RENT
73,asst to the director of theatre,24000.0,RENT
74,rn,77000.0,MORTGAGE
75,warehouse,31000.0,MORTGAGE
77,operations manager,60000.0,RENT
78,administrative assistant,41787.0,MORTGAGE
79,composite tehnician,45000.0,MORTGAGE
80,pta,77000.0,MORTGAGE
81,service director,72000.0,MORTGAGE
82,it support,165000.0,MORTGAGE
83,senior accounts payable clerk,43000.0,MORTGAGE
84,master driver,90000.0,MORTGAGE
85,teacher,95000.0,OWN
86,physician assistant,152000.0,MORTGAGE
87,credit analyst,49500.0,MORTGAGE
88,rca,32000.0,OWN
89,cabinet maker/installer,78000.0,RENT
90,benefits representative,52000.0,RENT
91,mechanic,147000.0,MORTGAGE
92,superintendent -customer operations,140000.0,OWN
93,teller,50000.0,RENT
95,territory manager,190000.0,MORTGAGE
96,sr engineer,126000.0,RENT
97,office manager,95000.0,MORTGAGE
98,petroleum operator ,80000.0,MORTGAGE
99,owner,23000.0,MORTGAGE
100,project manager,66000.0,OWN
101,driver/crane opeator,60000.0,RENT
102,audit manager,101000.0,MORTGAGE
103,cfo,113000.0,MORTGAGE
104,qa auditor,61000.0,MORTGAGE
105,line cook,28000.0,RENT
106,supervisor of technical trades,75000.0,MORTGAGE
107,crew chief ,44000.0,MORTGAGE
108,owner,60000.0,RENT
109,bus operator ,47000.0,RENT
110,web developer,58000.0,RENT
111,educator,55000.0,MORTGAGE
113,construction manager ,95000.0,RENT
114,education specialist,65000.0,MORTGAGE
115,ceo,250000.0,RENT
116,account administrator,55200.0,MORTGAGE
117,driver,42000.0,RENT
119,manager,60000.0,OWN
120,school administrator,120000.0,MORTGAGE
121,qc lead,63000.0,MORTGAGE
122,planning supervisor ,155000.0,MORTGAGE
123,pipefitter,40000.0,RENT
124,owner,42500.0,RENT
125,senior engagement lead,230000.0,OWN
126,attorney,75000.0,MORTGAGE
127,bank teller,24000.0,MORTGAGE
128,field service engineer ,110000.0,RENT
129,automotive service lane manager,172000.0,OWN
130,military officer captain,145000.0,RENT
131,cpa,85000.0,MORTGAGE
132,home equity specialist ,42000.0,RENT
133,general manager,36000.0,RENT
135,accounting supervisor,37000.0,OWN
136,video management,45000.0,OWN
137,claims adjudicator,40000.0,MORTGAGE
138,head of product design,182000.0,RENT
139,project manager,51000.0,RENT
140,sales,45000.0,RENT
141,import booking and pricing rep,31200.0,MORTGAGE
142,receptionist,27278.0,RENT
143,business analysis/csu manager,75000.0,MORTGAGE
144,supervisor,100000.0,RENT
146,clerk,66000.0,MORTGAGE
147,formulation scientist,89000.0,RENT
148,documentation supervisor,50000.0,MORTGAGE
149,director of operations,99000.0,MORTGAGE
150,supply chain manager,150000.0,RENT
151,executive assistant,57000.0,RENT
152,shop foreman,99000.0,MORTGAGE
153,research technician,44000.0,RENT
155,senior data engineer,97000.0,RENT
156,mechanic/owner,30000.0,MORTGAGE
158,commercial insurance broker,115000.0,MORTGAGE
159,field operations supervisor,80000.0,MORTGAGE
160,server,15000.0,RENT
161,hvac mechanic,60000.0,MORTGAGE
162,engineer assistant ,50000.0,RENT
163,senior quality analyst,91000.0,MORTGAGE
164,production,75000.0,MORTGAGE
165,it director,182000.0,MORTGAGE
167,sales manager,121500.0,MORTGAGE
168,owner,170000.0,MORTGAGE
169,journeyman union plumber,70000.0,RENT
170,service technician ,60000.0,OWN
171,executive director,100000.0,MORTGAGE
172,management,68000.0,RENT
173,sales,65000.0,MORTGAGE
174,customs specialist,42500.0,MORTGAGE
175,personal banker,52000.0,RENT
176,assistant controller ,68250.0,RENT
177,physical therapist assistant ,55000.0,MORTGAGE
178,office manager/ bookkeeper,85000.0,OWN
179,pilot,318000.0,MORTGAGE
180,service technician ,95000.0,OWN
181,physician extender ,71000.0,RENT
182,yard specialist,41200.0,MORTGAGE
184,bartender,15000.0,RENT
185,lease operator,95000.0,OWN
186,dean of humanities and the arts,88000.0,RENT
187,rn,65000.0,MORTGAGE
188,instructor,80000.0,RENT
189,manager,45000.0,RENT
